university_name,university_name_en,university_address,post_index,university_financing_type_name
"Заклад фахової передвищої освіти ""Київський фаховий медичний коледж ім. П.І.Гаврося""",Pre-higher Education Establishment «P.I.Gavros Kyiv Professional Medical College»,"вул. Академіка Білецького, 16",03126,Комунальна
"Заклад фахової передвищої освіти ""Перший Київський фаховий медичний коледж""","The institution off professional pre-higher education ""First Kyiv professional medical college""","вул. Мельникова, 14",04050,Комунальна
Київська муніципальна академія естрадного та циркового мистецтв,Kyiv Municipal Academy of Circus and Performing Arts,"вул. Жилянська, 88",01032,Комунальна
Київська муніципальна академія музики ім. Р.М. Глієра,R. Glier Kyiv Municipal Academy of Music,"вул. Льва Толстого, 31",01032,Комунальна
Київський університет імені Бориса Грінченка,Borys Grinchenko Kyiv University,"вул. Бульварно-Кудрявська, 18/2",04053,Комунальна
"Коледж хореографічного мистецтва ""Київська муніципальна академія танцю імені Сержа Лифаря""",Serge Lifar Kyiv Municipal Academy of Dance,"вул. Данькевича, 4-А",02232,Комунальна
"Комунальний заклад вищої освіти Київської обласної ради ""Академія мистецтв імені Павла Чубинського""","Communal Higher Educational Establishment of Kyiv Regional Council ""Academy of Arts""","вул. Івана Мазепи, 15",01015,Комунальна
"Муніципальний заклад вищої освіти ""Київська Академія мистецтв""","Municipal institution of higher education ""Kyiv Academy of Arts""","просп. Героїв Сталінграда, 10",04210,Комунальна
